,CPU,throughput
534,0.7,1467.89
535,0.7,1468.38
536,0.7,1475.74
537,0.7,1474.44
538,0.7,1473.5
539,0.7,1467.54
540,0.7,1488.61
541,0.7,1482.86
542,0.7,1462.23
543,0.7,1463.76
544,0.7,1459.38
545,0.7,1475.0
546,0.7,1477.6
547,0.7,1468.6
548,0.7,1466.06
549,0.7,1450.81
550,0.7,1458.58
551,0.7,1461.67
552,0.7,1453.98
553,0.7,1459.32
554,0.7,1456.12
555,0.7,1462.13
556,0.7,1472.17
557,0.7,1476.84
558,0.7,1464.41
559,0.7,1472.34
560,0.8,1472.54
561,0.8,1490.04
562,0.8,1478.58
563,0.8,1477.72
564,0.8,1477.6
565,0.8,1451.37
566,0.8,1459.01
567,0.8,1454.22
568,0.8,1466.12
569,0.8,1465.89
570,0.8,1464.77
571,0.8,1467.24
572,0.8,1471.34
573,0.8,1476.65
574,0.8,1474.04
575,0.8,1465.86
576,0.8,1477.35
577,0.8,1465.7
578,0.8,1460.86
579,0.8,1485.83
580,0.8,1474.33
581,0.8,1469.73
582,0.8,1472.68
583,0.8,1472.74
584,0.8,1456.91
585,0.8,1467.09
586,0.8,1474.7
587,0.8,1460.08
588,0.8,1468.86
589,0.8,1463.61
590,0.8,1468.8
591,0.8,1467.38
592,0.8,1449.27
593,0.8,1462.51
594,0.8,1453.84
595,0.8,1461.01
596,0.8,1468.65
597,0.8,1469.34
598,0.8,1476.58
599,0.8,1477.22
600,0.8,1485.88
601,0.8,1451.53
602,0.8,1455.65
603,0.8,1459.13
604,0.8,1467.64
605,0.8,1465.87
606,0.8,1471.77
607,0.8,1475.61
608,0.8,1458.68
609,0.8,1464.2
610,0.8,1456.3
611,0.8,1462.63
612,0.8,1455.82
613,0.8,1487.95
614,0.8,1479.9
615,0.8,1463.95
616,0.8,1455.7
617,0.8,1476.34
618,0.8,1464.51
619,0.8,1474.29
620,0.8,1468.38
621,0.8,1477.23
622,0.8,1475.53
623,0.8,1470.82
624,0.8,1488.13
625,0.8,1470.1
626,0.8,1454.73
627,0.8,1467.94
628,0.8,1478.37
629,0.8,1461.9
630,0.8,1464.81
631,0.8,1496.27
632,0.8,1456.63
633,0.8,1455.36
634,0.8,1464.09
635,0.8,1473.48
636,0.8,1466.45
637,0.8,1471.74
638,0.8,1461.2
639,0.8,1460.62
640,0.9,1460.51
641,0.9,1460.31
642,0.9,1458.11
643,0.9,1464.04
644,0.9,1472.35
645,0.9,1470.82
646,0.9,1474.06
647,0.9,1467.73
648,0.9,1477.46
649,0.9,1471.28
650,0.9,1457.58
651,0.9,1457.04
652,0.9,1475.45
653,0.9,1471.87
654,0.9,1484.63
655,0.9,1485.37
656,0.9,1453.27
657,0.9,1468.31
658,0.9,1465.77
659,0.9,1461.32
660,0.9,1458.4
661,0.9,1461.74
662,0.9,1460.18
663,0.9,1466.24
664,0.9,1465.92
665,0.9,1461.11
666,0.9,1470.41
667,0.9,1473.83
668,0.9,1469.55
669,0.9,1472.58
670,0.9,1488.34
671,0.9,1465.35
672,0.9,1484.98
673,0.9,1482.48
674,0.9,1467.17
675,0.9,1478.32
676,0.9,1485.69
677,0.9,1482.12
678,0.9,1451.21
679,0.9,1467.29
680,0.9,1467.4
681,0.9,1481.19
682,0.9,1451.21
683,0.9,1463.15
684,0.9,1478.95
685,0.9,1468.73
686,0.9,1473.43
687,0.9,1473.16
688,0.9,1479.81
689,0.9,1460.92
690,0.9,1452.16
691,0.9,1462.01
692,0.9,1481.43
693,0.9,1466.79
694,0.9,1464.21
695,0.9,1472.7
696,0.9,1462.3
697,0.9,1484.07
698,0.9,1464.29
699,0.9,1488.55
700,0.9,1482.19
701,0.9,1481.82
702,0.9,1487.5
703,0.9,1478.4
704,0.9,1478.33
705,0.9,1480.76
706,0.9,1480.81
707,0.9,1480.62
708,0.9,1496.92
709,0.9,1478.7
710,0.9,1477.7
711,0.9,1457.75
712,0.9,1458.75
713,0.9,1464.22
714,0.9,1470.1
715,0.9,1466.92
716,0.9,1467.09
717,0.9,1471.24
718,0.9,1475.34
719,0.9,1476.83
720,1.0,1466.27
721,1.0,1452.91
722,1.0,1467.03
723,1.0,1453.34
724,1.0,1461.06
725,1.0,1465.48
726,1.0,1462.86
727,1.0,1475.63
728,1.0,1468.22
729,1.0,1466.59
730,1.0,1461.61
731,1.0,1457.12
732,1.0,1450.86
733,1.0,1466.21
734,1.0,1466.09
735,1.0,1458.78
736,1.0,1466.69
737,1.0,1475.1
738,1.0,1465.44
739,1.0,1470.2
740,1.0,1475.57
741,1.0,1473.97
742,1.0,1460.7
743,1.0,1464.3
744,1.0,1471.54
745,1.0,1468.74
746,1.0,1482.2
747,1.0,1450.41
748,1.0,1458.65
749,1.0,1479.36
750,1.0,1481.31
751,1.0,1464.51
752,1.0,1471.72
753,1.0,1489.9
754,1.0,1463.34
755,1.0,1458.92
756,1.0,1473.44
757,1.0,1458.48
758,1.0,1462.54
759,1.0,1473.36
760,1.0,1461.33
761,1.0,1467.05
762,1.0,1460.54
763,1.0,1452.56
764,1.0,1453.39
765,1.0,1452.48
766,1.0,1462.81
767,1.0,1474.02
768,1.0,1477.03
769,1.0,1477.14
770,1.0,1477.02
771,1.0,1480.82
772,1.0,1465.77
773,1.0,1446.36
774,1.0,1457.83
775,1.0,1471.94
776,1.0,1466.07
777,1.0,1464.07
778,1.0,1461.9
779,1.0,1461.04
780,1.0,1479.79
781,1.0,1474.63
782,1.0,1471.6
783,1.0,1473.48
784,1.0,1479.37
785,1.0,1475.11
786,1.0,1482.01
787,1.0,1462.1
788,1.0,1464.56
789,1.0,1461.23
790,1.0,1472.91
791,1.0,1480.54
792,1.0,1473.44
793,1.0,1471.83
794,1.0,1463.34
795,1.0,1483.46
796,1.0,1462.19
797,1.0,1476.82
798,1.0,1483.33
799,1.0,1482.17
