,CPU,MEM,throughput
534,0.4,128.0,2159.55
535,0.4,128.0,2159.08
536,0.4,128.0,2198.58
537,0.4,128.0,2158.34
538,0.4,128.0,2186.04
539,0.4,128.0,2135.84
540,0.4,128.0,594480.88
541,0.4,128.0,599049.74
542,0.4,128.0,600861.87
543,0.4,128.0,588878.83
544,0.4,128.0,595934.58
545,0.4,128.0,593769.01
546,0.4,128.0,598192.29
547,0.4,128.0,596078.14
548,0.4,128.0,590070.54
549,0.4,128.0,594754.61
550,0.4,128.0,605348.41
551,0.4,128.0,599467.08
552,0.4,128.0,595698.26
553,0.4,128.0,595893.72
554,0.4,128.0,600592.49
555,0.4,128.0,602552.23
556,0.4,128.0,595720.96
557,0.4,128.0,598564.07
558,0.4,128.0,593423.99
559,0.4,128.0,593425.38
560,0.4,256.0,2182.11
561,0.4,256.0,2152.23
562,0.4,256.0,2206.05
563,0.4,256.0,2172.31
564,0.4,256.0,2164.23
565,0.4,256.0,2149.73
566,0.4,256.0,2190.66
567,0.4,256.0,2191.14
568,0.4,256.0,2210.11
569,0.4,256.0,2213.77
570,0.4,256.0,2178.03
571,0.4,256.0,2190.74
572,0.4,256.0,2172.44
573,0.4,256.0,2170.52
574,0.4,256.0,2191.24
575,0.4,256.0,2187.58
576,0.4,256.0,2155.16
577,0.4,256.0,2172.96
578,0.4,256.0,2151.71
579,0.4,256.0,2182.55
580,0.4,256.0,605488.88
581,0.4,256.0,605105.8
582,0.4,256.0,604738.81
583,0.4,256.0,593907.6
584,0.4,256.0,590557.73
585,0.4,256.0,600474.67
586,0.4,256.0,595447.85
587,0.4,256.0,598778.72
588,0.4,256.0,593893.79
589,0.4,256.0,593726.84
590,0.4,256.0,595868.75
591,0.4,256.0,593538.3
592,0.4,256.0,593877.57
593,0.4,256.0,594434.9
594,0.4,256.0,599681.42
595,0.4,256.0,598267.79
596,0.4,256.0,599725.5
597,0.4,256.0,600238.8
598,0.4,256.0,603017.68
599,0.4,256.0,595092.67
600,0.4,512.0,2212.69
601,0.4,512.0,2193.31
602,0.4,512.0,2208.97
603,0.4,512.0,2209.72
604,0.4,512.0,2094.68
605,0.4,512.0,2175.59
606,0.4,512.0,2216.87
607,0.4,512.0,2202.59
608,0.4,512.0,2228.55
609,0.4,512.0,2225.85
610,0.4,512.0,2158.64
611,0.4,512.0,2177.22
612,0.4,512.0,2180.77
613,0.4,512.0,2168.92
614,0.4,512.0,2149.02
615,0.4,512.0,2162.01
616,0.4,512.0,2180.06
617,0.4,512.0,2213.93
618,0.4,512.0,2236.05
619,0.4,512.0,2218.62
620,0.4,512.0,604040.71
621,0.4,512.0,603807.86
622,0.4,512.0,605605.1
623,0.4,512.0,595041.87
624,0.4,512.0,601599.47
625,0.4,512.0,596469.62
626,0.4,512.0,601001.61
627,0.4,512.0,594993.68
628,0.4,512.0,594805.4
629,0.4,512.0,599872.14
630,0.4,512.0,605145.77
631,0.4,512.0,604862.93
632,0.4,512.0,602774.09
633,0.4,512.0,599218.96
634,0.4,512.0,605621.26
635,0.4,512.0,594839.68
636,0.4,512.0,594726.24
637,0.4,512.0,605443.91
638,0.4,512.0,594843.12
639,0.4,512.0,599612.62
640,0.5,64.0,2208.3
641,0.5,64.0,2178.71
642,0.5,64.0,2215.59
643,0.5,64.0,2209.97
644,0.5,64.0,2164.64
645,0.5,64.0,2233.23
646,0.5,64.0,2194.89
647,0.5,64.0,2193.67
648,0.5,64.0,2185.85
649,0.5,64.0,2238.58
650,0.5,64.0,2212.02
651,0.5,64.0,2200.55
652,0.5,64.0,2160.01
653,0.5,64.0,2203.59
654,0.5,64.0,2161.63
655,0.5,64.0,2155.92
656,0.5,64.0,2202.13
657,0.5,64.0,2162.86
658,0.5,64.0,2214.98
659,0.5,64.0,2206.94
660,0.5,64.0,755132.4
661,0.5,64.0,764918.83
662,0.5,64.0,756374.91
663,0.5,64.0,764388.31
664,0.5,64.0,754935.62
665,0.5,64.0,756080.87
666,0.5,64.0,745266.67
667,0.5,64.0,756143.9
668,0.5,64.0,745824.04
669,0.5,64.0,758618.35
670,0.5,64.0,766887.5
671,0.5,64.0,765011.53
672,0.5,64.0,755893.66
673,0.5,64.0,759647.84
674,0.5,64.0,761419.44
675,0.5,64.0,762606.16
676,0.5,64.0,763643.76
677,0.5,64.0,756360.81
678,0.5,64.0,750236.91
679,0.5,64.0,766374.25
680,0.5,128.0,2166.16
681,0.5,128.0,2187.36
682,0.5,128.0,2190.61
683,0.5,128.0,2220.32
684,0.5,128.0,2177.48
685,0.5,128.0,2230.87
686,0.5,128.0,2201.17
687,0.5,128.0,2194.91
688,0.5,128.0,2199.9
689,0.5,128.0,2159.92
690,0.5,128.0,2206.42
691,0.5,128.0,2198.57
692,0.5,128.0,2234.19
693,0.5,128.0,2142.17
694,0.5,128.0,2163.46
695,0.5,128.0,2195.06
696,0.5,128.0,2172.14
697,0.5,128.0,2194.83
698,0.5,128.0,2192.92
699,0.5,128.0,2218.01
700,0.5,128.0,760440.01
701,0.5,128.0,756188.1
702,0.5,128.0,753580.38
703,0.5,128.0,755400.11
704,0.5,128.0,756147.14
705,0.5,128.0,755764.83
706,0.5,128.0,760904.39
707,0.5,128.0,759817.49
708,0.5,128.0,758574.05
709,0.5,128.0,761416.49
710,0.5,128.0,758030.13
711,0.5,128.0,761688.43
712,0.5,128.0,760559.37
713,0.5,128.0,764511.93
714,0.5,128.0,758417.57
715,0.5,128.0,759814.58
716,0.5,128.0,756508.88
717,0.5,128.0,759463.15
718,0.5,128.0,758066.62
719,0.5,128.0,758365.81
720,0.5,256.0,2191.94
721,0.5,256.0,2212.19
722,0.5,256.0,2185.48
723,0.5,256.0,2187.82
724,0.5,256.0,2184.35
725,0.5,256.0,2199.45
726,0.5,256.0,2190.55
727,0.5,256.0,2211.87
728,0.5,256.0,2227.0
729,0.5,256.0,2193.06
730,0.5,256.0,2193.79
731,0.5,256.0,2192.78
732,0.5,256.0,2225.9
733,0.5,256.0,2179.67
734,0.5,256.0,2178.17
735,0.5,256.0,2193.07
736,0.5,256.0,2199.32
737,0.5,256.0,2236.08
738,0.5,256.0,2203.55
739,0.5,256.0,2238.9
740,0.5,256.0,762988.2
741,0.5,256.0,755478.93
742,0.5,256.0,761148.08
743,0.5,256.0,755131.54
744,0.5,256.0,754975.87
745,0.5,256.0,764250.55
746,0.5,256.0,763069.92
747,0.5,256.0,764673.06
748,0.5,256.0,764330.94
749,0.5,256.0,764022.42
750,0.5,256.0,764096.57
751,0.5,256.0,765521.1
752,0.5,256.0,755823.47
753,0.5,256.0,765361.51
754,0.5,256.0,761147.54
755,0.5,256.0,751070.33
756,0.5,256.0,758938.29
757,0.5,256.0,760009.7
758,0.5,256.0,755344.93
759,0.5,256.0,765588.0
760,0.5,512.0,2192.7
761,0.5,512.0,2200.8
762,0.5,512.0,2208.73
763,0.5,512.0,2162.25
764,0.5,512.0,2169.1
765,0.5,512.0,2201.92
766,0.5,512.0,2200.29
767,0.5,512.0,2186.18
768,0.5,512.0,2203.84
769,0.5,512.0,2203.84
770,0.5,512.0,2198.32
771,0.5,512.0,2198.81
772,0.5,512.0,2169.19
773,0.5,512.0,2199.1
774,0.5,512.0,2190.09
775,0.5,512.0,2184.21
776,0.5,512.0,2200.3
777,0.5,512.0,2232.32
778,0.5,512.0,2186.44
779,0.5,512.0,2227.94
780,0.5,512.0,754737.05
781,0.5,512.0,760024.99
782,0.5,512.0,766844.97
783,0.5,512.0,763610.57
784,0.5,512.0,751107.42
785,0.5,512.0,759552.87
786,0.5,512.0,758182.07
787,0.5,512.0,753645.28
788,0.5,512.0,758435.46
789,0.5,512.0,761566.39
790,0.5,512.0,758683.13
791,0.5,512.0,758565.5
792,0.5,512.0,755766.6
793,0.5,512.0,758550.49
794,0.5,512.0,763100.14
795,0.5,512.0,760027.89
796,0.5,512.0,765828.52
797,0.5,512.0,765330.07
798,0.5,512.0,765509.09
799,0.5,512.0,760025.63
800,0.6,64.0,2221.95
801,0.6,64.0,2218.01
802,0.6,64.0,2176.39
803,0.6,64.0,2172.0
804,0.6,64.0,2160.29
805,0.6,64.0,2174.35
806,0.6,64.0,2197.0
807,0.6,64.0,2201.86
808,0.6,64.0,2219.3
809,0.6,64.0,2185.67
810,0.6,64.0,2174.0
811,0.6,64.0,2220.92
812,0.6,64.0,2193.6
813,0.6,64.0,2164.91
814,0.6,64.0,2192.55
815,0.6,64.0,2181.62
816,0.6,64.0,2180.67
817,0.6,64.0,2178.12
818,0.6,64.0,2190.32
819,0.6,64.0,2197.47
820,0.6,64.0,924893.18
821,0.6,64.0,919296.46
822,0.6,64.0,923165.92
823,0.6,64.0,930674.21
824,0.6,64.0,924324.78
825,0.6,64.0,916402.02
826,0.6,64.0,911213.54
827,0.6,64.0,921656.41
828,0.6,64.0,906590.32
829,0.6,64.0,917018.51
830,0.6,64.0,914685.43
831,0.6,64.0,921221.37
832,0.6,64.0,928694.57
833,0.6,64.0,920147.48
834,0.6,64.0,910375.28
835,0.6,64.0,919791.52
836,0.6,64.0,905264.52
837,0.6,64.0,920911.98
838,0.6,64.0,926295.12
839,0.6,64.0,921432.57
840,0.6,128.0,2219.56
841,0.6,128.0,2222.04
842,0.6,128.0,2195.77
843,0.6,128.0,2189.17
844,0.6,128.0,2204.09
845,0.6,128.0,2225.02
846,0.6,128.0,2200.56
847,0.6,128.0,2183.55
848,0.6,128.0,2247.69
849,0.6,128.0,2235.69
850,0.6,128.0,2216.81
851,0.6,128.0,2209.83
852,0.6,128.0,2230.64
853,0.6,128.0,2226.35
854,0.6,128.0,2175.12
855,0.6,128.0,2203.35
856,0.6,128.0,2208.09
857,0.6,128.0,2191.7
858,0.6,128.0,2192.01
859,0.6,128.0,2207.31
860,0.6,128.0,926359.08
861,0.6,128.0,922170.04
862,0.6,128.0,925119.87
863,0.6,128.0,930205.61
864,0.6,128.0,921180.45
865,0.6,128.0,916975.95
866,0.6,128.0,916726.75
867,0.6,128.0,926907.95
868,0.6,128.0,921751.15
869,0.6,128.0,921965.14
870,0.6,128.0,920295.33
871,0.6,128.0,920406.95
872,0.6,128.0,922873.46
873,0.6,128.0,920972.89
874,0.6,128.0,925384.29
875,0.6,128.0,921301.8
876,0.6,128.0,923821.79
877,0.6,128.0,924648.46
878,0.6,128.0,919786.81
879,0.6,128.0,919467.97
880,0.6,256.0,2216.34
881,0.6,256.0,2197.05
882,0.6,256.0,2187.44
883,0.6,256.0,2209.82
884,0.6,256.0,2204.09
885,0.6,256.0,2211.7
886,0.6,256.0,2223.28
887,0.6,256.0,2236.91
888,0.6,256.0,2176.59
889,0.6,256.0,2196.9
890,0.6,256.0,2221.17
891,0.6,256.0,2185.64
892,0.6,256.0,2181.95
893,0.6,256.0,2176.05
894,0.6,256.0,2199.64
895,0.6,256.0,2231.23
896,0.6,256.0,2234.96
897,0.6,256.0,2246.54
898,0.6,256.0,2261.62
899,0.6,256.0,2217.58
900,0.6,256.0,915325.22
901,0.6,256.0,914271.25
902,0.6,256.0,911514.37
903,0.6,256.0,929507.24
904,0.6,256.0,928042.08
905,0.6,256.0,927470.39
906,0.6,256.0,915295.48
907,0.6,256.0,922088.56
908,0.6,256.0,922018.04
909,0.6,256.0,921537.46
910,0.6,256.0,922241.72
911,0.6,256.0,923757.2
912,0.6,256.0,926884.58
913,0.6,256.0,931754.25
914,0.6,256.0,928351.72
915,0.6,256.0,927025.3
916,0.6,256.0,914990.54
917,0.6,256.0,925548.97
918,0.6,256.0,925983.85
919,0.6,256.0,926112.53
920,0.6,512.0,2236.26
921,0.6,512.0,2213.2
922,0.6,512.0,2214.9
923,0.6,512.0,2219.03
924,0.6,512.0,2202.99
925,0.6,512.0,2220.97
926,0.6,512.0,2187.04
927,0.6,512.0,2199.31
928,0.6,512.0,2235.38
929,0.6,512.0,2201.55
930,0.6,512.0,2220.29
931,0.6,512.0,2177.08
932,0.6,512.0,2214.53
933,0.6,512.0,2234.09
934,0.6,512.0,2232.04
935,0.6,512.0,2213.83
