topology,vnf1cpu,vnf2cpu,vnf3cpu,throughput
nx-sc-sq,1,0.32,0.32,159183.54
nx-sc-sq,1,0.32,0.16,156816.49
nx-sc-sq,0.16,0.16,0.16,73358.33
nx-sc-sq,1,0.16,0.16,73010.48
nx-sc-sq,1,0.16,0.16,70181.4
nx-sc-sq,0.16,0.64,0.64,134064.9
nx-sc-sq,1,1,0.64,456681.15
nx-sc-sq,0.64,0.16,0.32,71568.1
nx-sc-sq,0.16,0.64,0.32,121375.45
nx-sc-sq,1,0.32,0.64,161558.25
nx-sc-sq,0.16,0.32,0.64,134728.09
nx-sc-sq,1,1,0.64,448911.11
nx-sc-sq,0.32,1,1,290090.85
nx-sc-sq,0.32,0.64,0.16,182840.67
nx-sc-sq,0.64,0.16,0.16,73455.16
nx-sc-sq,0.32,0.32,0.16,162613.14
nx-sc-sq,0.64,0.64,0.64,341491.26
nx-sc-sq,1,1,1,451898.89
nx-sc-sq,1,0.64,0.16,183134.11
nx-sc-sq,1,1,0.32,419129.21
nx-sc-sq,0.32,0.64,0.32,290893.63
nx-sc-sq,0.64,0.32,0.16,158225.83
nx-sc-sq,0.16,0.64,0.16,122204.78
nx-sc-sq,1,1,0.32,417949.17
nx-sc-sq,1,0.16,0.64,70569.28
nx-sc-sq,0.16,1,0.16,118829.82
nx-sc-sq,0.64,1,0.16,181920.25
nx-sc-sq,0.16,0.16,0.32,72952.9
nx-sc-sq,1,0.32,0.16,167535.9
nx-sc-sq,0.64,0.32,0.16,161123.19
nx-sc-sq,0.64,0.16,0.16,74401.62
nx-sc-sq,0.32,0.64,0.64,292718.65
nx-sc-sq,0.64,0.32,0.32,154290.74
nx-sc-sq,0.32,0.32,0.16,159659.55
nx-sc-sq,0.16,0.64,0.32,127162.98
nx-sc-sq,0.16,0.32,0.32,131353.82
nx-sc-sq,0.64,0.64,0.64,329357.66
nx-sc-sq,0.16,0.64,0.64,135766.53
nx-sc-sq,0.32,0.16,1,72533.45
nx-sc-sq,1,0.16,0.64,71738.98
nx-sc-sq,1,0.64,0.32,344396.53
nx-sc-sq,0.16,1,0.16,130322.8
nx-sc-sq,1,0.64,0.32,355673.46
nx-sc-sq,0.64,0.16,1,74496.17
nx-sc-sq,0.32,0.32,0.32,162325.49
nx-sc-sq,0.32,0.64,0.16,178018.96
nx-sc-sq,0.16,1,1,129950.71
nx-sc-sq,1,0.32,0.16,161363.97
nx-sc-sq,1,0.64,0.16,186337.19
nx-sc-sq,0.64,0.16,0.32,72441.86
nx-sc-sq,1,1,0.32,424732.31
nx-sc-sq,0.64,0.32,0.32,155826.47
nx-sc-sq,0.32,0.32,1,160147
nx-sc-sq,0.32,1,1,271088.45
nx-sc-sq,0.64,1,0.64,443981.27
nx-sc-sq,1,0.32,0.32,159144.39
nx-sc-sq,0.32,0.64,0.16,180881.77
nx-sc-sq,0.16,0.64,1,134703.39
nx-sc-sq,0.16,1,1,133706.89
nx-sc-sq,1,0.64,1,335008.33
nx-sc-sq,0.32,0.64,1,274145.06
nx-sc-sq,1,0.16,0.64,73350.31
nx-sc-sq,0.32,0.16,1,71268.08
nx-sc-sq,1,1,1,451634.75
nx-sc-sq,0.16,0.16,0.32,72040.72
nx-sc-sq,0.32,0.32,0.16,162860.93
nx-sc-sq,0.32,0.64,0.32,284368.81
nx-sc-sq,0.16,0.64,1,136427.64
nx-sc-sq,0.16,0.16,1,73660.67
nx-sc-sq,1,0.16,0.64,69860.96
nx-sc-sq,1,0.64,0.64,359888.56
nx-sc-sq,0.64,0.32,1,156853.72
nx-sc-sq,0.32,0.16,0.16,70434.4
nx-sc-sq,0.32,1,1,277486.87
nx-sc-sq,0.64,1,0.16,182270.88
nx-sc-sq,0.64,1,1,428093.26
nx-sc-sq,1,0.64,0.16,182520.18
nx-sc-sq,1,0.32,0.16,160403.04
nx-sc-sq,1,1,0.16,180563.93
nx-sc-sq,0.16,0.64,1,136218.42
nx-sc-sq,0.16,0.16,1,71937.52
nx-sc-sq,0.32,1,0.16,181751.15
nx-sc-sq,0.64,0.64,0.32,339205.76
nx-sc-sq,0.64,0.16,0.64,71550.43
nx-sc-sq,0.16,0.16,1,70778.48
nx-sc-sq,0.32,1,0.32,288029.25
nx-sc-sq,0.64,0.32,0.32,159161.72
nx-sc-sq,0.16,1,1,135337.6
nx-sc-sq,0.16,0.64,1,138017.62
nx-sc-sq,1,0.64,0.32,341501.66
nx-sc-sq,0.64,1,0.16,183466.24
nx-sc-sq,0.32,0.64,0.32,297320.41
nx-sc-sq,1,0.64,1,342683.79
nx-sc-sq,1,0.32,0.16,166212.6
nx-sc-sq,1,0.32,0.64,159624.67
nx-sc-sq,0.64,0.16,0.64,70809.39
nx-sc-sq,0.16,0.32,0.32,135138.96
nx-sc-sq,0.16,0.64,0.16,133631.82
nx-sc-sq,1,1,0.32,418480.88
nx-sc-sq,0.32,0.64,1,204968.79
nx-sc-sq,0.32,1,0.32,299234.68
nx-sc-sq,0.64,0.32,0.16,161409.08
nx-sc-sq,0.16,0.64,0.64,132354.27
nx-sc-sq,0.16,1,0.32,135365.79
nx-sc-sq,1,0.16,0.16,70951.3
nx-sc-sq,0.32,0.64,0.16,179155.46
nx-sc-sq,0.64,0.64,0.32,339795.92
nx-sc-sq,0.16,0.64,0.16,139259.11
nx-sc-sq,0.32,0.16,0.16,73359.42
nx-sc-sq,0.64,0.32,0.32,159869.84
nx-sc-sq,0.32,1,0.32,278859.69
nx-sc-sq,1,1,1,456678.65
nx-sc-sq,0.64,0.32,0.64,165437.22
nx-sc-sq,1,0.64,1,343102.88
nx-sc-sq,1,1,1,457911.74
nx-sc-sq,0.16,0.16,0.16,73874.41
nx-sc-sq,0.16,0.32,1,143224.54
nx-sc-sq,0.16,0.16,0.16,71749.77
nx-sc-sq,1,0.32,1,162450.64
nx-sc-sq,0.16,1,0.64,136878.47
