,CPU,throughput
346,0.5,760904.39
347,0.5,759817.49
348,0.5,758574.05
349,0.5,761416.49
350,0.5,758030.13
351,0.5,761688.43
352,0.5,760559.37
353,0.5,764511.93
354,0.5,758417.57
355,0.5,759814.58
356,0.5,756508.88
357,0.5,759463.15
358,0.5,758066.62
359,0.5,758365.81
360,0.5,762988.2
361,0.5,755478.93
362,0.5,761148.08
363,0.5,755131.54
364,0.5,754975.87
365,0.5,764250.55
366,0.5,763069.92
367,0.5,764673.06
368,0.5,764330.94
369,0.5,764022.42
370,0.5,764096.57
371,0.5,765521.1
372,0.5,755823.47
373,0.5,765361.51
374,0.5,761147.54
375,0.5,751070.33
376,0.5,758938.29
377,0.5,760009.7
378,0.5,755344.93
379,0.5,765588.0
380,0.5,754737.05
381,0.5,760024.99
382,0.5,766844.97
383,0.5,763610.57
384,0.5,751107.42
385,0.5,759552.87
386,0.5,758182.07
387,0.5,753645.28
388,0.5,758435.46
389,0.5,761566.39
390,0.5,758683.13
391,0.5,758565.5
392,0.5,755766.6
393,0.5,758550.49
394,0.5,763100.14
395,0.5,760027.89
396,0.5,765828.52
397,0.5,765330.07
398,0.5,765509.09
399,0.5,760025.63
400,0.6,924893.18
401,0.6,919296.46
402,0.6,923165.92
403,0.6,930674.21
404,0.6,924324.78
405,0.6,916402.02
406,0.6,911213.54
407,0.6,921656.41
408,0.6,906590.32
409,0.6,917018.51
410,0.6,914685.43
411,0.6,921221.37
412,0.6,928694.57
413,0.6,920147.48
414,0.6,910375.28
415,0.6,919791.52
416,0.6,905264.52
417,0.6,920911.98
418,0.6,926295.12
419,0.6,921432.57
420,0.6,926359.08
421,0.6,922170.04
422,0.6,925119.87
423,0.6,930205.61
424,0.6,921180.45
425,0.6,916975.95
426,0.6,916726.75
427,0.6,926907.95
428,0.6,921751.15
429,0.6,921965.14
430,0.6,920295.33
431,0.6,920406.95
432,0.6,922873.46
433,0.6,920972.89
434,0.6,925384.29
435,0.6,921301.8
436,0.6,923821.79
437,0.6,924648.46
438,0.6,919786.81
439,0.6,919467.97
440,0.6,915325.22
441,0.6,914271.25
442,0.6,911514.37
443,0.6,929507.24
444,0.6,928042.08
445,0.6,927470.39
446,0.6,915295.48
447,0.6,922088.56
448,0.6,922018.04
449,0.6,921537.46
450,0.6,922241.72
451,0.6,923757.2
452,0.6,926884.58
453,0.6,931754.25
454,0.6,928351.72
455,0.6,927025.3
456,0.6,914990.54
457,0.6,925548.97
458,0.6,925983.85
459,0.6,926112.53
460,0.6,919856.0
461,0.6,923094.96
462,0.6,921214.56
463,0.6,922266.86
464,0.6,921842.1
465,0.6,930246.37
466,0.6,921790.41
467,0.6,921568.17
468,0.6,911995.29
469,0.6,916621.72
470,0.6,922178.29
471,0.6,921650.55
472,0.6,915381.49
473,0.6,926440.98
474,0.6,911399.01
475,0.6,914789.82
476,0.6,927054.67
477,0.6,927375.07
478,0.6,919909.52
479,0.6,932641.96
480,0.7,1089772.39
481,0.7,1086216.68
482,0.7,1076196.5
483,0.7,1077768.43
484,0.7,1090040.05
485,0.7,1091147.31
486,0.7,1087368.66
487,0.7,1086324.61
488,0.7,1080612.84
489,0.7,1079425.34
490,0.7,1075955.93
491,0.7,1075842.56
492,0.7,1077039.76
493,0.7,1069457.56
494,0.7,1080089.64
495,0.7,1080404.06
496,0.7,1085563.09
497,0.7,1074595.86
498,0.7,1082555.27
499,0.7,1077339.1
500,0.7,1077230.64
501,0.7,1075927.0
502,0.7,1096068.2
503,0.7,1077795.42
504,0.7,1081735.2
505,0.7,1090428.24
506,0.7,1091537.87
507,0.7,1085197.08
508,0.7,1089999.23
509,0.7,1074887.75
510,0.7,1071711.22
511,0.7,1076146.82
512,0.7,1074624.9
513,0.7,1096250.91
514,0.7,1086324.95
515,0.7,1091603.69
516,0.7,1076164.76
517,0.7,1080676.24
518,0.7,1096270.58
519,0.7,1090534.71
520,0.7,1080669.11
521,0.7,1090163.86
522,0.7,1087581.22
523,0.7,1088164.08
524,0.7,1079695.92
525,0.7,1074534.93
526,0.7,1085208.01
527,0.7,1082367.88
528,0.7,1084764.47
529,0.7,1080583.88
530,0.7,1079064.08
531,0.7,1081253.42
532,0.7,1076317.63
533,0.7,1080959.24
534,0.7,1080820.86
535,0.7,1091409.65
536,0.7,1084684.25
537,0.7,1089803.74
538,0.7,1082488.82
539,0.7,1091212.55
540,0.7,1087649.3
541,0.7,1076080.46
542,0.7,1091866.64
543,0.7,1091870.37
544,0.7,1093925.03
545,0.7,1095508.73
546,0.7,1071201.69
547,0.7,1079835.97
548,0.7,1085092.33
549,0.7,1075954.66
550,0.7,1075080.16
551,0.7,1086089.75
552,0.7,1086016.06
553,0.7,1085298.34
554,0.7,1081870.3
555,0.7,1093035.23
556,0.7,1087740.17
557,0.7,1081820.48
558,0.7,1080338.03
559,0.7,1075219.54
560,0.8,1245249.56
561,0.8,1259166.74
562,0.8,1233067.35
563,0.8,1250478.39
564,0.8,1237402.98
565,0.8,1241586.18
566,0.8,1247970.32
567,0.8,1247978.05
568,0.8,1232267.58
569,0.8,1235894.1
570,0.8,1249492.17
571,0.8,1260433.76
572,0.8,1243045.7
573,0.8,1241537.95
574,0.8,1243068.1
575,0.8,1240020.67
576,0.8,1232193.22
577,0.8,1241608.1
578,0.8,1240871.28
579,0.8,1240306.53
580,0.8,1245797.3
581,0.8,1235291.08
582,0.8,1250282.56
583,0.8,1248163.77
584,0.8,1240388.18
585,0.8,1246656.97
586,0.8,1235847.14
587,0.8,1229991.21
588,0.8,1243564.32
589,0.8,1258017.71
590,0.8,1251451.37
591,0.8,1253589.58
592,0.8,1236994.21
593,0.8,1237275.73
594,0.8,1257131.17
595,0.8,1246335.45
596,0.8,1241550.74
597,0.8,1242316.19
598,0.8,1243080.26
599,0.8,1255704.86
600,0.8,1260668.63
601,0.8,1236893.16
602,0.8,1238431.9
603,0.8,1247294.03
604,0.8,1255640.23
605,0.8,1239720.68
606,0.8,1241974.24
607,0.8,1234435.0
608,0.8,1250286.17
609,0.8,1231518.28
610,0.8,1243291.78
611,0.8,1236971.44
612,0.8,1246296.05
613,0.8,1254091.06
614,0.8,1235765.5
615,0.8,1245339.23
616,0.8,1242525.25
617,0.8,1241497.71
618,0.8,1247942.4
619,0.8,1248333.85
620,0.8,1255671.72
621,0.8,1242283.76
622,0.8,1235536.76
623,0.8,1245582.42
624,0.8,1247232.5
625,0.8,1247593.74
626,0.8,1258512.03
627,0.8,1235663.23
628,0.8,1239672.11
629,0.8,1255938.83
630,0.8,1241413.67
631,0.8,1251887.87
632,0.8,1252754.89
633,0.8,1247335.71
634,0.8,1236772.42
635,0.8,1237432.17
636,0.8,1242780.09
637,0.8,1232576.73
638,0.8,1237658.42
639,0.8,1245451.66
640,0.9,1419386.99
641,0.9,1434218.9
642,0.9,1412219.86
643,0.9,1434505.07
644,0.9,1443224.69
645,0.9,1418671.72
646,0.9,1426611.3
647,0.9,1425021.21
648,0.9,1431910.61
649,0.9,1437728.77
650,0.9,1423541.73
651,0.9,1424191.13
652,0.9,1433022.78
653,0.9,1415885.8
654,0.9,1423630.64
655,0.9,1434788.53
656,0.9,1435156.67
657,0.9,1423889.83
658,0.9,1430086.43
659,0.9,1440418.55
660,0.9,1423573.91
661,0.9,1411512.74
662,0.9,1418563.53
663,0.9,1420799.19
664,0.9,1417488.67
665,0.9,1428212.78
666,0.9,1432344.78
667,0.9,1424267.04
668,0.9,1431100.84
669,0.9,1434180.72
670,0.9,1427141.23
671,0.9,1411279.68
672,0.9,1410498.78
673,0.9,1418607.7
674,0.9,1408328.88
675,0.9,1422330.62
676,0.9,1433396.03
677,0.9,1433951.58
678,0.9,1433972.83
679,0.9,1411748.93
680,0.9,1415950.68
681,0.9,1415704.63
682,0.9,1423445.78
683,0.9,1427505.92
684,0.9,1432719.51
685,0.9,1425395.92
686,0.9,1412841.35
687,0.9,1419778.59
688,0.9,1417690.82
689,0.9,1423287.24
690,0.9,1413991.31
691,0.9,1417182.49
692,0.9,1416705.24
693,0.9,1422094.63
694,0.9,1423910.22
695,0.9,1429740.89
696,0.9,1410566.89
697,0.9,1417284.81
698,0.9,1426126.36
699,0.9,1415621.41
700,0.9,1430996.38
701,0.9,1421543.26
702,0.9,1412943.92
703,0.9,1418077.35
704,0.9,1426677.62
705,0.9,1432248.17
706,0.9,1419879.4
707,0.9,1407899.96
708,0.9,1425829.31
709,0.9,1416568.1
710,0.9,1428984.89
711,0.9,1420666.41
712,0.9,1424717.28
713,0.9,1400765.45
714,0.9,1417818.34
715,0.9,1418338.49
716,0.9,1422211.39
717,0.9,1446221.4
718,0.9,1414380.4
719,0.9,1417604.43
720,1.0,1577756.55
721,1.0,1582861.58
722,1.0,1579512.42
723,1.0,1598779.15
724,1.0,1568515.81
725,1.0,1574321.07
726,1.0,1590498.19
727,1.0,1588371.01
728,1.0,1582670.58
729,1.0,1583118.13
730,1.0,1585662.71
731,1.0,1560038.66
732,1.0,1585881.34
733,1.0,1578949.26
734,1.0,1593377.26
735,1.0,1562867.99
736,1.0,1565236.76
737,1.0,1586047.12
738,1.0,1581489.93
739,1.0,1596083.55
740,1.0,1565517.58
741,1.0,1579145.98
742,1.0,1597250.59
743,1.0,1585826.86
744,1.0,1561270.65
745,1.0,1563893.08
746,1.0,1576573.66
747,1.0,1574551.65
748,1.0,1592034.23
749,1.0,1552040.19
750,1.0,1567952.44
751,1.0,1585715.34
752,1.0,1579606.63
753,1.0,1574007.79
754,1.0,1579591.08
755,1.0,1564461.99
756,1.0,1574025.46
757,1.0,1569836.55
758,1.0,1590480.41
759,1.0,1580912.86
760,1.0,1572508.25
761,1.0,1572383.5
762,1.0,1562301.23
763,1.0,1572790.48
764,1.0,1572647.97
765,1.0,1588288.76
766,1.0,1579110.11
767,1.0,1573181.98
768,1.0,1577173.16
769,1.0,1580119.73
770,1.0,1570234.08
771,1.0,1587661.93
772,1.0,1569604.75
773,1.0,1579490.53
774,1.0,1586242.63
775,1.0,1587347.69
776,1.0,1574901.83
777,1.0,1579378.7
778,1.0,1592097.16
779,1.0,1581891.73
780,1.0,1584660.85
781,1.0,1578723.46
782,1.0,1588841.16
783,1.0,1569620.28
784,1.0,1560302.5
785,1.0,1562890.99
786,1.0,1578190.34
787,1.0,1579759.22
788,1.0,1582172.71
789,1.0,1578895.02
790,1.0,1573699.93
791,1.0,1581856.44
792,1.0,1582768.26
793,1.0,1570499.77
794,1.0,1572144.49
795,1.0,1569515.27
796,1.0,1565671.24
797,1.0,1580260.97
798,1.0,1567462.47
799,1.0,1578071.55
